"","h1","h2","h3","h4","h5","h6","h7","h8","h9","h10"
"p91",60,74,58,66,54,47,35,40,40,46
"p92",70,79,73,52,70,63,45,38,52,23
"p93",59,81,87,72,71,50,48,49,46,32
"p94",65,87,79,78,78,57,44,50,38,50
"p95",56,64,70,61,64,52,53,36,53,52
"p96",45,86,61,68,64,51,43,40,42,42
"p97",60,92,68,68,66,65,66,51,48,38
"p98",53,89,78,62,53,53,40,50,42,33
"p99",70,77,83,53,52,49,43,38,46,37
"p100",53,91,54,68,57,58,38,41,38,36
"p101",52,72,71,59,62,39,42,65,39,38
"p102",66,80,80,60,77,45,52,46,35,36
"p103",61,83,62,63,58,41,36,40,54,32
"p104",61,66,64,68,65,41,53,44,43,36
"p105",58,83,76,68,49,49,43,52,38,35
"p106",72,75,86,61,63,49,53,48,35,47
"p107",58,88,73,66,56,47,54,51,45,42
"p108",61,71,76,70,65,62,59,50,41,35
"p109",56,88,80,70,61,60,51,44,41,49
"p110",72,88,78,74,65,77,52,44,47,32
"p111",46,94,71,78,60,58,49,46,44,40
"p112",74,91,89,59,55,52,47,49,37,28
"p113",44,83,73,67,43,53,47,41,36,30
"p114",63,81,86,72,72,44,46,54,39,39
"p115",41,66,69,76,81,54,49,51,32,39
"p116",58,58,66,55,69,54,53,45,42,46
"p117",53,72,64,75,45,59,59,40,35,38
"p118",55,85,94,80,61,62,37,58,48,54
"p119",65,83,66,66,65,44,49,42,43,40
"p120",64,89,80,74,51,60,52,44,42,36
"p121",58,88,74,73,56,58,57,51,44,38
"p122",65,61,61,77,54,47,43,54,48,47
"p123",57,77,69,71,69,57,62,50,33,27
"p124",53,69,85,66,54,45,41,44,32,44
"p125",60,87,74,57,76,51,50,48,34,32
"p126",50,84,63,73,56,56,55,35,36,43
"p127",64,92,74,58,65,40,38,44,34,43
"p128",72,84,70,59,77,56,45,47,45,32
"p129",60,91,67,76,62,41,41,34,44,40
"p130",64,91,94,63,64,48,50,34,46,37
"p131",59,81,81,75,64,53,49,40,57,47
"p132",59,82,86,57,70,52,44,36,37,38
"p133",66,78,76,65,56,55,47,53,36,37
"p134",53,75,83,56,57,59,54,41,54,36
"p135",65,81,81,82,65,39,57,33,40,38
"p136",74,94,54,63,60,45,64,42,45,34
"p137",58,78,60,48,62,56,48,39,40,42
"p138",52,80,74,72,63,47,52,64,46,34
"p139",48,86,71,70,70,60,46,38,35,36
"p140",43,79,71,60,48,56,37,46,43,43
"p141",75,71,72,65,52,60,53,44,45,27
"p142",62,85,71,61,49,48,50,58,30,38
"p143",64,91,80,71,56,46,49,34,43,30
"p144",57,84,76,70,59,57,54,41,27,34
"p145",57,82,76,60,64,55,48,48,37,39
"p146",51,92,72,64,50,58,48,50,47,41
"p147",76,95,79,62,62,60,51,42,38,35
"p148",71,93,88,68,61,40,46,57,38,30
"p149",67,77,68,73,48,56,49,47,38,29
"p150",53,82,68,78,59,57,48,48,35,40
"p151",52,84,80,58,52,54,40,51,47,34
"p152",55,74,83,63,57,56,49,36,35,36
"p153",58,76,77,60,59,48,50,45,47,40
"p154",59,70,78,76,68,54,45,54,48,38
"p155",60,72,84,63,62,66,40,46,41,45
"p156",47,92,69,60,50,50,48,54,42,33
"p157",66,56,82,66,62,52,51,49,48,29
"p158",62,80,87,75,58,74,43,50,36,30
"p159",75,81,62,63,72,41,47,53,42,35
"p160",56,87,69,71,73,45,48,50,30,30
"p161",49,75,73,67,73,52,46,55,35,39
"p162",51,66,85,64,70,51,53,45,26,35
"p163",57,102,84,78,58,49,50,37,42,44
"p164",49,74,77,72,59,48,44,49,46,32
"p165",62,83,69,68,71,57,54,59,36,37
"p166",66,76,59,70,55,53,39,50,47,51
"p167",74,87,78,81,82,52,55,44,47,42
"p168",55,60,73,74,61,45,40,49,37,32
"p169",67,87,49,73,53,53,44,47,35,45
"p170",52,90,61,57,48,51,53,34,47,36
"p171",64,90,71,61,62,64,54,51,38,29
"p172",58,71,67,72,68,50,59,50,39,34
"p173",54,91,88,53,51,65,47,42,45,30
"p174",52,83,67,84,61,51,46,63,43,46
"p175",65,79,80,74,67,52,61,41,46,34
"p176",57,91,72,61,54,51,47,41,38,38
"p177",61,111,76,53,61,59,53,52,44,39
"p178",60,84,87,79,47,54,44,42,46,34
"p179",48,68,62,83,59,46,45,49,51,36
"p180",49,81,77,62,61,55,54,53,42,28
"p181",51,80,82,64,59,47,47,50,32,38
"p182",48,90,61,78,74,59,39,57,43,51
"p183",59,70,79,61,66,67,39,31,46,38
"p184",59,72,90,65,59,52,60,46,43,33
"p185",68,85,59,67,58,53,49,35,30,40
"p186",64,87,67,67,72,56,51,28,55,45
"p187",52,87,77,64,75,56,46,50,38,43
"p188",60,75,61,82,65,63,46,36,38,28
"p189",72,78,78,62,72,46,52,45,49,32
"p190",46,105,88,71,53,56,55,35,47,35
"p191",75,70,69,86,55,54,40,47,32,36
"p192",61,85,75,64,50,49,46,50,33,38
"p193",74,81,74,55,53,63,49,52,25,34
"p194",53,81,91,63,52,72,53,43,32,42
"p195",68,77,90,64,54,45,73,40,35,44
"p196",61,62,78,65,64,52,50,43,39,45
"p197",59,77,65,76,52,52,52,49,39,38
"p198",69,82,73,60,70,53,55,46,30,34
"p199",56,90,79,52,57,59,45,57,43,43
"p200",57,81,73,57,57,44,58,43,34,41
"p201",54,82,85,57,70,42,43,40,42,33
"p202",56,76,78,62,46,64,59,35,45,40
"p203",63,76,78,68,72,66,51,53,56,40
"p204",64,92,65,74,57,61,45,29,41,34
"p205",54,70,85,58,70,61,36,40,43,35
"p206",58,76,66,71,53,60,45,56,53,32
"p207",62,69,67,65,58,48,41,38,38,39
"p208",61,70,83,87,91,57,55,53,40,40
"p209",56,71,69,68,59,50,41,46,32,28
"p210",57,88,90,62,63,55,39,43,37,46
"p211",52,92,74,80,63,53,44,37,46,39
"p212",48,75,71,53,52,52,61,40,41,41
"p213",68,75,53,56,67,57,51,52,54,34
"p214",66,87,76,65,75,67,48,36,41,47
"p215",49,75,83,71,66,61,51,40,40,41
"p216",63,92,95,78,66,47,58,51,39,37
"p217",63,78,72,68,80,46,55,52,48,32
"p218",63,75,92,62,72,50,48,47,42,37
"p219",54,96,65,82,56,50,53,42,56,34
"p220",51,89,62,71,52,55,59,59,56,31
"p221",58,87,81,60,75,44,46,35,46,31
"p222",62,91,74,78,52,54,54,43,52,35
"p223",56,77,63,65,64,43,46,39,52,41
"p224",77,101,74,74,62,61,44,51,51,34
"p225",64,90,75,70,68,59,41,63,44,35
"p226",67,76,70,65,73,55,51,60,43,30
"p227",51,76,68,95,53,47,50,44,40,44
"p228",57,79,76,70,52,62,48,35,48,27
"p229",60,78,73,60,56,53,62,34,40,37
"p230",65,110,46,74,59,55,54,48,52,44
"p231",55,86,75,63,54,57,54,49,41,34
"p232",65,81,82,52,60,49,47,43,43,43
"p233",63,74,61,67,60,65,54,46,39,39
"p234",76,73,64,61,70,53,62,40,42,41
"p235",60,73,90,73,50,55,53,41,41,37
"p236",53,68,83,73,55,53,55,60,48,47
"p237",72,92,73,64,60,60,53,46,47,36
"p238",64,70,61,76,63,57,51,60,40,31
"p239",60,73,81,51,56,40,47,36,44,42
"p240",53,88,74,66,56,47,37,45,33,26
"p241",51,56,70,67,59,42,39,57,43,31
"p242",60,87,62,48,54,53,56,51,43,42
"p243",58,77,83,76,47,59,53,41,49,32
"p244",69,93,61,69,55,55,51,50,42,41
"p245",59,74,80,72,66,53,63,48,30,41
"p246",56,85,71,66,60,53,48,49,40,34
"p247",75,65,68,58,59,40,47,41,29,38
"p248",65,88,69,61,63,51,55,51,39,43
"p249",67,81,85,56,60,63,59,56,39,36
"p250",51,81,77,84,53,44,48,53,29,29
"p251",67,92,63,58,76,51,45,49,33,37
"p252",71,85,77,63,57,46,52,55,42,34
"p253",65,78,74,82,58,53,47,47,42,46
"p254",51,95,76,62,54,62,50,43,51,35
"p255",49,78,96,54,67,64,59,51,42,41
"p256",65,76,62,87,60,58,67,38,46,32
"p257",55,71,62,61,45,46,49,51,45,38
"p258",65,72,74,75,63,65,53,55,45,29
"p259",72,72,79,76,85,62,59,41,38,33
"p260",60,86,89,61,74,56,52,34,41,42
"p261",61,83,87,53,70,52,49,41,34,42
"p262",54,67,78,69,57,60,45,52,51,37
"p263",60,76,84,64,70,59,60,49,38,37
"p264",57,77,68,64,66,51,52,46,34,34
"p265",64,76,71,66,53,46,47,37,41,46
"p266",58,78,82,58,54,44,47,47,47,50
"p267",69,90,66,48,60,52,53,57,35,46
"p268",53,66,67,69,59,52,41,41,47,45
"p269",60,83,74,66,71,49,47,44,38,44
"p270",62,81,74,64,59,51,46,46,36,31
"p271",70,68,77,77,53,50,52,40,35,29
"p272",69,78,73,69,58,54,39,52,34,30
"p273",58,80,79,75,58,61,55,61,34,29
"p274",70,94,66,58,60,54,56,33,47,37
"p275",48,55,79,70,62,51,59,56,43,45
"p276",65,80,74,71,45,61,56,44,39,49
"p277",72,86,69,72,61,41,54,39,40,50
"p278",64,72,73,61,63,44,53,40,42,44
"p279",56,85,67,60,68,57,43,44,33,45
"p280",55,71,97,77,60,50,51,37,33,42
"p281",55,76,82,48,67,44,50,40,26,37
"p282",69,74,75,71,77,47,44,34,54,40
"p283",51,90,67,69,65,51,52,40,40,32
"p284",66,81,64,78,55,55,52,42,36,32
"p285",58,75,84,71,77,62,62,41,33,47
"p286",61,76,81,78,67,47,53,42,45,38
"p287",54,80,65,75,63,63,56,34,45,31
"p288",52,67,69,66,69,57,58,48,44,43
"p289",69,62,83,73,62,40,57,50,38,48
"p290",61,75,63,82,64,57,53,40,50,42
"p291",59,81,70,73,62,56,56,56,40,49
"p292",60,91,74,65,49,55,55,50,38,38
"p293",71,75,53,65,52,61,59,30,37,36
"p294",66,84,70,64,58,52,42,58,46,41
"p295",48,83,59,59,67,46,43,42,36,39
"p296",59,85,84,66,59,56,55,61,45,43
"p297",59,82,55,62,77,58,52,37,41,33
"p298",42,79,73,63,69,54,40,40,34,26
"p299",69,85,76,61,51,58,40,54,39,37
"p300",59,90,78,66,62,59,48,45,53,28
"p301",65,108,59,54,66,58,44,60,45,39
"p302",50,81,62,61,65,39,40,43,38,40
"p303",60,82,75,67,69,55,46,28,44,39
"p304",61,80,88,66,54,38,56,44,47,35
"p305",58,106,75,59,47,60,57,47,33,36
"p306",48,69,63,81,60,60,58,29,49,37
"p307",59,78,66,61,62,61,47,49,41,43
"p308",53,76,74,66,66,58,42,36,35,31
"p309",61,78,68,56,55,64,49,37,37,53
"p310",65,74,71,68,62,54,56,48,33,35
"p311",71,106,66,53,58,61,55,49,46,41
"p312",59,79,78,65,57,53,44,48,50,34
"p313",51,74,81,60,58,67,55,33,54,37
"p314",69,80,61,61,76,71,49,47,39,29
"p315",73,79,73,70,64,58,62,48,43,51
"p316",69,87,75,74,78,46,46,47,48,32
"p317",52,67,66,66,62,68,49,35,31,37
"p318",57,101,80,60,48,50,58,50,33,41
"p319",61,74,63,67,63,52,54,36,29,34
"p320",60,80,94,60,63,57,57,42,47,34
"p321",93,76,70,68,57,63,48,50,33,35
"p322",55,71,64,64,61,52,34,45,37,38
"p323",66,69,68,76,70,56,44,40,52,35
"p324",77,80,87,63,66,52,46,65,43,30
"p325",63,88,84,75,67,53,51,47,31,46
"p326",68,68,66,66,47,54,46,50,33,26
"p327",53,80,77,64,70,56,44,42,41,37
"p328",62,74,73,50,57,58,51,49,49,37
"p329",55,89,71,84,68,54,49,42,42,37
"p330",60,83,76,60,62,46,51,49,47,33
"p331",51,72,74,66,54,55,37,39,48,43
"p332",55,70,80,77,59,69,49,44,33,35
"p333",81,78,65,63,74,55,44,34,33,38
"p334",59,80,65,64,57,62,55,59,54,41
"p335",70,83,83,78,64,56,54,43,50,34
"p336",45,89,83,84,49,46,45,57,36,43
"p337",58,85,82,54,62,53,37,41,33,39
"p338",60,56,86,78,53,72,54,40,42,40
"p339",68,91,84,83,67,57,52,35,39,25
"p340",70,77,72,64,59,50,49,52,37,39
"p341",64,81,76,70,82,53,42,51,46,27
"p342",75,87,69,62,66,51,45,45,52,30
"p343",50,93,71,68,67,45,43,41,40,37
"p344",60,81,81,89,64,72,69,47,41,39
"p345",67,78,90,67,59,52,48,49,51,33
"p346",64,67,75,72,71,68,50,43,35,42
"p347",64,70,76,74,80,60,43,47,30,36
"p348",66,97,92,77,49,47,43,53,39,43
"p349",65,83,70,75,66,49,50,54,33,33
"p350",54,87,85,83,61,52,38,40,56,32
"p351",58,73,75,64,53,59,35,30,46,34
"p352",49,82,83,75,62,59,34,46,44,33
"p353",60,87,66,68,71,59,52,50,33,40
"p354",45,88,85,78,69,49,48,39,33,28
"p355",51,71,67,66,62,60,55,37,50,49
"p356",59,76,65,44,70,52,43,57,36,41
"p357",55,64,67,83,77,52,59,42,43,36
"p358",51,86,64,74,64,61,52,48,41,35
"p359",56,83,76,79,76,61,46,49,28,36
"p360",43,86,77,68,75,60,35,43,51,40
"p361",51,89,75,62,68,55,43,44,39,35
"p362",58,69,79,72,53,57,47,47,34,27
"p363",50,107,72,59,67,47,45,51,39,33
"p364",79,81,62,80,54,51,55,37,47,42
"p365",69,74,66,91,63,55,55,38,37,45
"p366",68,74,66,59,68,50,50,43,48,36
"p367",59,82,81,67,67,53,54,43,47,37
"p368",58,89,79,69,80,64,53,40,43,27
"p369",56,83,88,55,65,66,46,49,42,46
"p370",46,83,67,53,63,43,45,49,40,40
"p371",51,88,79,61,63,64,54,43,31,39
"p372",47,82,61,72,51,67,49,45,41,31
"p373",64,87,71,66,65,54,42,47,46,38
"p374",57,87,84,79,53,40,59,67,34,32
"p375",50,108,71,53,67,58,50,58,49,43
"p376",47,90,67,69,52,55,55,42,46,36
"p377",60,79,64,53,55,53,66,51,41,39
"p378",47,82,79,78,54,58,46,40,50,44
"p379",68,73,72,62,56,50,53,50,35,47
"p380",67,73,80,48,58,49,64,56,40,30
"p381",79,70,75,57,51,46,55,34,52,32
"p382",55,76,73,71,53,63,51,40,38,37
"p383",56,95,79,68,46,51,38,53,32,30
"p384",64,85,82,70,66,56,40,39,33,35
"p385",60,95,62,66,50,49,58,40,36,38
"p386",47,74,68,60,66,51,51,44,47,33
"p387",63,72,61,72,68,55,50,44,49,44
"p388",53,92,71,64,85,44,42,52,38,31
"p389",66,80,65,67,48,54,46,44,40,48
"p390",49,75,77,70,61,53,54,59,55,37
"p391",48,77,81,50,60,63,54,46,44,45
"p392",71,93,77,64,57,46,47,46,49,35
"p393",49,83,84,74,66,58,50,42,42,43
"p394",65,99,67,74,64,51,52,51,41,30
"p395",68,66,75,90,68,43,45,29,41,27
"p396",60,61,68,56,50,59,60,41,42,42
"p397",61,92,78,58,61,51,51,50,39,30
"p398",53,89,77,67,62,55,56,41,48,25
"p399",60,75,86,67,48,59,45,43,43,33
"p400",73,72,70,63,62,48,56,41,47,28
"p401",78,79,68,71,63,46,44,49,34,41
"p402",68,81,79,76,45,53,39,66,31,45
"p403",53,83,87,69,52,50,35,45,43,38
"p404",64,84,67,60,56,57,44,41,42,47
"p405",66,70,82,83,61,66,56,46,39,41
"p406",59,90,87,60,61,55,54,42,46,34
"p407",54,79,76,68,58,51,46,45,32,35
"p408",67,83,73,60,64,46,56,48,43,33
"p409",53,75,65,57,65,52,49,58,42,37
"p410",50,69,70,73,47,60,51,49,43,33
"p411",65,74,83,60,53,60,45,54,47,32
"p412",54,94,85,73,63,70,37,40,41,27
"p413",66,87,77,66,66,46,55,38,35,33
"p414",75,81,59,65,58,68,51,55,50,34
"p415",50,81,72,72,52,54,38,47,38,39
"p416",67,84,80,70,49,56,51,45,54,31
"p417",70,87,72,56,65,46,54,42,45,42
"p418",44,89,70,72,75,40,53,48,42,26
"p419",63,77,75,70,69,60,35,36,48,46
"p420",62,74,69,61,61,58,54,47,31,37
"p421",74,86,80,66,70,44,62,46,49,44
"p422",61,65,83,69,68,56,64,40,33,51
"p423",53,68,71,72,57,55,55,34,45,43
"p424",59,84,83,63,65,56,53,42,43,50
"p425",61,85,71,61,57,40,45,42,31,38
"p426",48,85,73,72,56,49,50,49,43,37
"p427",56,83,71,61,68,62,51,52,49,25
"p428",55,80,68,83,62,53,51,40,38,46
"p429",60,86,88,83,47,68,46,36,38,41
"p430",52,86,64,61,51,43,53,38,36,43
"p431",61,82,66,75,76,75,54,58,30,32
"p432",55,71,64,61,53,61,47,41,27,28
"p433",63,84,77,65,66,66,58,47,40,34
"p434",59,86,69,55,45,52,63,42,45,31
"p435",60,97,72,60,58,46,41,56,41,39
"p436",53,72,69,60,59,39,52,42,49,49
"p437",54,84,70,67,60,40,48,43,49,33
"p438",58,73,57,58,48,57,40,55,33,28
"p439",58,89,76,60,54,58,45,43,44,44
"p440",52,69,88,55,65,54,34,43,48,36
"p441",62,75,65,67,70,59,49,57,51,32
"p442",59,78,69,65,55,51,62,42,25,36
"p443",48,88,74,64,75,59,43,51,36,40
"p444",56,75,90,65,79,61,55,54,47,31
"p445",64,94,66,58,54,53,44,61,38,35
"p446",70,86,77,74,56,51,45,44,33,46
"p447",68,96,71,60,61,48,46,46,50,46
"p448",61,81,78,71,67,58,48,50,33,30
"p449",62,74,70,54,62,61,38,49,40,38
"p450",76,87,69,77,68,57,52,44,43,32
"p451",61,103,75,56,60,55,54,57,30,25
"p452",70,75,77,71,80,51,49,50,33,35
"p453",62,72,76,83,66,44,55,58,53,40
"p454",55,80,70,73,63,58,55,56,41,43
"p455",64,93,88,62,51,63,53,36,43,36
"p456",54,87,64,76,57,52,56,41,49,44
"p457",47,88,67,72,60,63,47,46,35,38
"p458",59,72,83,66,70,54,40,43,42,33
"p459",57,80,86,70,56,58,53,50,45,35
"p460",54,86,65,76,52,47,54,52,38,26
"p461",68,85,72,67,76,59,43,41,49,41
"p462",70,82,79,56,60,61,44,43,47,31
"p463",65,100,73,66,58,59,50,45,54,48
"p464",54,70,80,63,59,59,57,29,35,44
"p465",51,86,74,68,61,64,57,54,37,36
"p466",67,79,67,79,63,54,41,30,39,34
"p467",67,82,61,88,57,47,44,48,38,32
"p468",60,75,82,71,58,52,53,46,35,42
"p469",53,75,75,80,73,79,43,46,47,43
"p470",62,86,77,74,62,56,43,36,33,39
"p471",62,91,83,67,52,48,49,43,48,38
"p472",58,76,73,53,52,56,54,38,33,44
"p473",57,73,70,68,73,55,58,47,36,35
"p474",80,83,83,65,48,47,36,27,35,26
"p475",80,70,69,74,55,52,49,53,43,39
"p476",58,70,73,65,58,53,48,50,40,36
"p477",63,63,69,72,59,54,48,50,37,30
"p478",77,95,77,61,69,55,45,44,41,37
"p479",62,92,78,62,58,58,52,49,46,28
"p480",63,70,81,71,58,61,30,51,44,46
"p481",66,88,78,56,51,49,60,39,37,53
"p482",66,90,70,79,48,36,55,36,33,37
"p483",60,72,86,62,59,43,36,56,47,39
"p484",62,66,77,79,59,53,45,52,49,33
"p485",61,74,51,75,64,51,52,51,51,36
"p486",59,89,75,59,69,53,48,45,52,34
"p487",65,81,60,62,62,62,43,37,42,40
"p488",60,87,77,70,65,45,52,32,39,38
"p489",44,84,70,70,72,69,50,41,45,35
"p490",60,85,87,89,66,42,51,48,35,34
"p491",62,90,73,56,63,38,60,43,34,40
"p492",64,85,86,52,49,42,45,43,45,45
"p493",53,90,83,63,55,60,41,42,44,33
"p494",56,80,76,66,59,51,60,43,36,36
"p495",60,87,65,68,46,54,50,44,40,29
"p496",68,78,83,82,51,64,46,49,44,31
"p497",64,59,83,73,58,54,37,37,31,39
"p498",70,70,94,82,87,46,57,37,34,35
"p499",57,65,88,60,65,50,48,34,36,45
"p500",54,71,87,62,53,67,57,48,32,32
"p501",61,89,82,52,54,61,57,36,51,47
"p502",64,74,83,74,54,58,52,42,32,36
"p503",50,82,76,58,57,51,58,38,40,45
"p504",64,68,66,65,56,49,54,39,40,42
"p505",59,74,80,68,59,52,56,48,36,39
"p506",61,90,86,56,62,46,60,38,35,38
"p507",63,80,73,64,56,60,59,52,33,45
"p508",61,93,49,62,55,51,51,33,39,24
"p509",59,96,59,77,65,63,54,44,42,37
"p510",55,82,80,76,50,52,41,37,52,43
"p511",63,81,69,59,50,56,46,40,41,44
"p512",57,79,72,72,54,42,35,52,30,24
"p513",69,70,64,52,60,49,50,34,47,40
"p514",59,83,75,73,68,64,56,41,59,38
"p515",64,84,82,77,72,71,62,47,40,36
"p516",58,75,62,80,48,57,45,52,39,54
"p517",46,88,94,79,57,62,57,44,46,34
"p518",65,86,86,70,67,56,48,43,44,30
"p519",67,84,67,67,70,54,53,46,29,39
"p520",49,80,69,58,65,58,52,47,44,28
"p521",74,85,67,69,65,45,49,42,30,31
"p522",57,82,68,70,66,51,38,48,42,32
"p523",68,80,81,60,65,69,59,41,37,24
"p524",54,90,76,67,68,69,52,53,38,24
"p525",58,71,75,54,38,59,48,38,49,46
"p526",47,64,70,72,66,59,45,38,38,40
"p527",52,86,68,66,47,59,54,53,38,27
"p528",65,75,68,72,65,54,51,33,41,29
"p529",58,81,75,59,53,52,57,48,32,41
"p530",53,87,70,74,65,52,45,40,40,26
"p531",53,91,74,71,52,61,39,39,33,35
"p532",64,71,72,58,56,52,43,46,28,45
"p533",62,76,68,72,75,57,40,46,40,36
"p534",67,87,59,65,65,65,47,27,31,26
"p535",51,80,70,59,55,54,53,53,29,45
"p536",65,85,80,65,62,49,55,50,47,29
"p537",54,76,66,66,64,58,37,42,39,32
"p538",51,69,70,58,61,55,40,53,44,42
"p539",67,91,70,63,59,60,42,52,36,36
"p540",61,75,73,67,45,66,46,53,39,28
"p541",56,86,63,83,61,65,53,32,46,38
"p542",48,83,76,72,62,57,43,45,51,45
"p543",59,83,82,73,60,46,46,47,37,41
"p544",57,95,82,77,58,50,52,60,38,33
"p545",59,70,73,69,60,54,53,48,31,34
"p546",57,72,68,73,59,46,57,36,37,27
"p547",54,59,60,72,57,64,50,41,44,36
"p548",68,82,63,45,67,59,49,42,41,44
"p549",54,87,63,57,58,55,41,42,41,48
"p550",58,84,68,65,64,63,58,47,41,35
"p551",54,78,92,74,46,46,57,43,44,39
"p552",57,70,76,51,58,56,53,39,46,37
"p553",64,73,61,56,77,47,50,38,37,33
"p554",59,83,72,74,57,37,42,42,45,38
"p555",63,82,90,60,66,66,55,38,41,42
"p556",48,80,90,80,56,58,50,45,37,37
"p557",61,88,86,51,59,52,41,43,40,38
"p558",52,81,75,70,64,51,56,39,37,40
"p559",51,61,69,67,61,29,48,55,33,37
"p560",64,88,65,61,64,62,51,47,46,36
"p561",66,96,54,67,71,71,59,54,41,41
"p562",50,82,77,62,53,59,49,50,49,34
"p563",59,90,67,79,46,67,49,52,46,44
"p564",48,81,64,66,43,67,44,41,42,37
"p565",54,90,54,72,60,57,44,47,36,34
"p566",67,90,74,60,67,64,52,47,49,31
"p567",62,64,67,68,46,55,49,46,39,36
"p568",59,77,72,68,48,53,49,39,55,31
"p569",67,103,82,63,54,52,44,51,44,46
"p570",61,75,65,63,55,60,51,45,47,31
"p571",63,84,72,53,56,59,53,46,39,41
"p572",71,78,72,61,45,50,57,39,38,33
"p573",64,85,83,56,60,44,50,35,41,39
"p574",58,84,87,62,58,38,48,48,41,40
"p575",60,81,77,60,58,54,54,36,52,28
"p576",64,85,75,61,69,46,36,46,39,35
"p577",56,81,76,63,65,50,32,37,41,46
"p578",71,83,70,68,51,52,54,50,38,38
"p579",61,78,64,56,58,58,49,44,39,43
"p580",53,74,86,60,62,62,42,43,34,38
